=============================================================================================================
IsPublic IsSerial Name                                     BaseType                                                                                                                            
-------- -------- ----                                     --------                                                                                                                            
True     False    FitHmiComponents                         Siemens.Engineering.Download.Configurations.DownloadCheckConfiguration                                                              
True     False    InitializeMemory                         Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     InitializeMemorySelections               System.Enum                                                                                                                         
True     False    LoadIdentificationData                   Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     LoadIdentificationDataSelections         System.Enum                                                                                                                         
True     False    ModuleReadAccessPassword                 Siemens.Engineering.Download.Configurations.DownloadPasswordConfiguration                                                           
True     False    ModuleWriteAccessPassword                Siemens.Engineering.Download.Configurations.DownloadPasswordConfiguration                                                           
True     False    OverwriteHmiData                         Siemens.Engineering.Download.Configurations.DownloadCheckConfiguration                                                              
True     False    OverwriteSystemData                      Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     OverwriteSystemDataSelections            System.Enum                                                                                                                         
True     False    OverwriteTargetLanguages                 Siemens.Engineering.Download.Configurations.DownloadCheckConfiguration                                                              
True     False    ProtectionLevelChanged                   Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     ProtectionLevelChangedSelections         System.Enum                                                                                                                         
True     False    ResetModule                              Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     ResetModuleSelections                    System.Enum                                                                                                                         
True     False    StartBackupModules                       Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     StartBackupModulesSelections             System.Enum                                                                                                                         
True     False    StartModules                             Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     StartModulesSelections                   System.Enum                                                                                                                         
True     False    StopHSystem                              Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     False    StopHSystemOrModule                      Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     StopHSystemOrModuleSelections            System.Enum                                                                                                                         
True     True     StopHSystemSelections                    System.Enum                                                                                                                         
True     False    StopModules                              Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     StopModulesSelections                    System.Enum                                                                                                                         
True     False    SwitchBackupToPrimary                    Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     SwitchBackupToPrimarySelections          System.Enum                                                                                                                         
True     False    TurnOffSequence                          Siemens.Engineering.Download.Configurations.DownloadCheckConfiguration                                                              
True     False    UpgradeTargetDevice                      Siemens.Engineering.Download.Configurations.DownloadCheckConfiguration                                                              
True     False    WaitOnReboot                             Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     WaitOnRebootSelections                   System.Enum                                                                                                                         
True     False    Address                                  System.Object                                                                                                                       
True     False    AddressAssociation                       System.Object                                                                                                                       
True     False    AddressComposition                       System.Object                                                                                                                       
True     True     AddressContext                           System.Enum                                                                                                                         
True     True     AddressIoType                            System.Enum                                                                                                                         
True     True     ApplicationControlFunction               System.Enum                                                                                                                         
True     True     BasicType                                System.Enum                                                                                                                         
True     True     BaudRate                                 System.Enum                                                                                                                         
True     True     BusProfile                               System.Enum                                                                                                                         
True     True     CableLength                              System.Enum                                                                                                                         
True     True     CableName                                System.Enum                                                                                                                         
True     False    Channel                                  System.Object                                                                                                                       
True     False    ChannelComposition                       System.Object                                                                                                                       
True     True     ChannelIoType                            System.Enum                                                                                                                         
True     True     ChannelType                              System.Enum                                                                                                                         
